dataset_id,dataset_name,total_citations,cumulative_citations,high_confidence_citations,avg_confidence,total_citation_impact,max_single_citation_impact,citation_years_list
ds004019,Effect of obesity on arithmetic processing in preteens with high and low math skills. An event-related potentials study,1,1,1,0.8663047304749489,1,1.0,[2022]
ds004621,The Nencki-Symfonia EEG/ERP dataset,2,1,2,0.6256773094832897,1,1.0,"[2024, 2025]"
ds004840,"Dataset of electrophysiological signals (EEG, ECG, EMG) during Music therapy with adult burn patients in the Intensive Care Unit.",2,1,2,0.7315978467464448,1,1.0,"[2024, 0]"
ds004473,sEEG Forced Two-Choice Task,1,1,1,0.7442369771003724,1,1.0,[2023]
ds005234,Perception of vowel sounds in children with autism spectrum disorders and typically developing children (MEG/ERF study),4,1,4,0.8087111681699753,1,1.0,"[2025, 2024, 0, 2024]"
ds004657,Driving with Autonomous Aids,1,1,0,,0,,[]
ds004626,Can we dissociate hypervigilance to social threats from altered perceptual decision-making processes in lonely individuals? An exploration with Drift Diffusion Modelling and event-related potentials.,1,1,1,0.8866142114996911,1,1.0,[2023]
ds004752,"Dataset of intracranial EEG, scalp EEG and beamforming sources from epilepsy patients performing a verbal working memory task",4,1,4,0.7099165491014718,1,1.0,"[2024, 2024, 2024, 0]"
ds004980,EEG data set for a architectural affordances task,1,1,1,0.616513810157776,1,1.0,[2024]
ds004703,sEEG Passive listening to natural speech,2,1,2,0.501338482350111,1,1.0,"[2024, 2024]"
ds004977,CARLA: Adjusted common average referencing for cortico-cortical evoked potential data,2,1,2,0.7206575739383698,1,1.0,"[2024, 2024]"
ds005121,Siefert2024,1,1,1,0.7300263297557832,1,1.0,[2024]
ds002712,Numbers and Letters,1,1,1,0.5426916244626047,1,1.0,[2023]
ds005691,SpinalExpect_Invasive,2,1,2,0.6247619336843491,1,1.0,"[2025, 2025]"
ds003805,Multisensory Gamma Entrainment,3,1,3,0.7721832066774369,1,1.0,"[2022, 2021, 2021]"
ds005028,Comparing P300 Flashing paradigms in online typing with language models,1,1,1,0.8604601353406908,1,1.0,[2025]
ds004284,eeg-neuroforecasting,2,1,2,0.5330410017818212,1,1.0,"[2023, 0]"
ds005363,Object recognition in healthy aging (ORHA) - EEG,1,1,1,0.6246822130680084,1,1.0,[2024]
ds003816,The Effect of Buddhism Derived Loving Kindness Meditation on Modulating EEG: Long-term and Short-term Effect,2,1,2,0.8029120047390462,1,1.0,"[2023, 2025]"
ds002550,Differential brain mechanisms of selection and maintenance of information during working memory (MEG data),1,0,1,0.5893608856201173,0,0.0,[2025]
ds004444,The BMI-HDEEG dataset 1,1,0,1,0.8517005056142809,0,0.0,[2023]
ds004603,Visual Attribute-Specific Contextual Trajectory Paradigm,1,0,1,0.53043922662735,0,0.0,[2023]
ds004370,PRIOS,1,0,1,0.8295752120018006,0,0.0,[2024]
ds005815,"A Human EEG
Dataset for Multisensory Perception and Mental
Imagery",1,0,1,1.0,0,0.0,[2025]
ds005261,Gloups_MEG,1,0,1,0.8310597503185273,0,0.0,[2025]
ds005034,The effect of theta tACS on working memory,1,0,1,0.8567767399549485,0,0.0,[2024]
ds004315,"Mood Manipulation and PST, Experiment 1",1,0,1,0.5074394845962525,0,0.0,[2023]
ds005079,The Effects of Directed Therapeutic Intent on Live and Damaged Cells,1,0,1,0.7335196486115456,0,0.0,[2024]
ds005185,Ear-EEG Sleep Monitoring 2019 (EESM19),2,0,2,0.8409061086177827,0,0.0,"[2025, 0]"
ds005356,MEG: Major Depression & Probabilistic Learning Task,1,0,1,0.8239548397064209,0,0.0,[2024]
ds005343,Gaffrey Lab Infant Microstates and Attention,1,0,1,0.8470886197686196,0,0.0,[2024]
ds005415,Numbers,1,0,1,0.602075084745884,0,0.0,[2024]
ds003570,EEG: Improvisation and Musical Structures,1,0,1,0.70186030626297,0,0.0,[2021]
ds004012,BRAR_NQ,1,0,1,0.5166960945725442,0,0.0,[2024]
ds005624,Color Change Detection Task,1,0,1,0.5404000353813172,0,0.0,[2025]
ds005087,rapid-hemifield-object-eeg,1,0,1,0.6915473636984826,0,0.0,[2024]
ds004447,The BMI-HDEEG dataset 3,1,0,1,0.8419168996810914,0,0.0,[2023]
ds005398,Open iEEG Dataset,2,0,2,0.73973310649395,0,0.0,"[2025, 2024]"
ds005868,Flankers-FAR,1,0,1,0.6813953080773354,0,0.0,[2025]
ds005385,Resting-state EEG data before and after cognitive activity across the adult lifespan and a 5-year follow-up,2,0,2,0.7912684231996537,0,0.0,"[2024, 2025]"
ds004802,Pilot data for Loneliness in the Brain: Distinguishing Between Hypersensitivity and Hyperalertness,2,0,2,0.6234110482037067,0,0.0,"[0, 2024]"
ds004262,Continuous Feedback Processing,1,0,1,0.6313799840211869,0,0.0,[2023]
ds003708,Basis profile curve identification to understand electrical stimulation effects in human brain networks,1,0,1,0.8964493811130525,0,0.0,[2021]
ds004785,EEG data for paper titled - Precise cortical contributions to feedback sensorimotor control during reactive balance,1,0,1,0.7373783192038537,0,0.0,[2024]
ds005688,visStim,1,0,1,0.9016995137929916,0,0.0,[2025]
ds005511,Healthy Brain Network (HBN) EEG - Release 7,2,0,2,0.7381262507289649,0,0.0,"[2024, 2025]"
ds004770,iEEG on children during gameplay,2,0,2,0.5685381945222616,0,0.0,"[2023, 2024]"
ds005296,Sentence semantic and syntactic violations,1,0,1,0.5970685887336732,0,0.0,[2025]
ds005273,Neural representation of consciously seen and unseen information,1,0,1,0.9446365696191787,0,0.0,[2025]
ds005586,Electroencephalographic responses to the number of objects in partially occluded and uncovered scenes,2,0,1,0.8755850225687029,0,0.0,[2025]
ds005178,Ear-EEG Sleep Monitoring 2023 (EESM23),2,0,2,0.8906861621141435,0,0.0,"[2025, 0]"
ds003343,Disentangling the percepts of illusory movement and sensory stimulation during tendon vibration in the EEG,1,0,1,0.9739104205369952,0,0.0,[2021]
ds004107,MIND DATA,2,0,2,0.6665772901475431,0,0.0,"[2025, 2024]"
ds004483,ABSeqMEG,2,0,2,0.8956982311606407,0,0.0,"[2023, 2022]"
ds005571,Expectation of Conflict Stimuli ,1,0,1,0.6352796164155007,0,0.0,[2024]
ds004595,EEG: RL Task (3-Armed Bandit) with alcohol cues in hazardous drinkers and ctls,2,0,2,0.6195252877473831,0,0.0,"[0, 2023]"
ds005170,Chisco,1,0,1,0.7581493949890138,0,0.0,[2024]
ds005403,Delayed Auditory Feedback EEG/EGG,2,0,2,0.6052344616502523,0,0.0,"[2025, 2024]"
ds004738,sfb_meg_phantom (B04/C01),1,0,1,0.7856231984496117,0,0.0,[2023]
ds005594,Alphabetic Decision Task (Arial Light Font),1,0,1,0.4951208938658238,0,0.0,[2024]
ds005083,Safety and Accuracy of Stereoelectroencephalography for Pediatric Patients with Prior Craniotomy,1,0,1,0.9426569098234178,0,0.0,[2024]
ds005841,EEG Experiment measuring ERPs in VR,1,0,1,0.5808972823619843,0,0.0,[2025]
ds004348,Ear-EEG Sleep Monitoring 2017 (EESM17),2,0,2,0.8608636918663979,0,0.0,"[0, 2025]"
ds004587,IllusionGameEEG_data,1,0,0,,0,,[]
ds004256, Encoding of Sound Source Elevation in Human Cortex,1,0,1,0.4635261446237564,0,0.0,[0]
ds005106,200 Objects Infants EEG,1,0,1,0.8669321000576021,0,0.0,[2025]
